2022,32,1737,0,12.72,19.37,13.33,22.6,0.1,121.1,0.1,20.7
2022,32,1738,0,12.72,19.51,13.32,22.59,0.15,347.2,0.15,23.2
2022,32,1739,0,12.72,19.65,13.3,22.59,0.09,97.4,0.09,21.5
2022,32,1740,0,12.72,19.79,13.32,22.55,0.1,96.2,0.1,21.1
2022,32,1741,0,0,19.92,-0.005,-28.72,-7999,100.9,0.09,21.1
2022,32,1742,0,0,20.06,-0.005,-80,-7999,100.9,0.09,21.1
2022,32,1743,0,0,20.19,-0.004,-80,-7999,100.9,0.09,21.1
2022,32,1744,0,0,20.32,-0.005,-80,-7999,100.9,0.09,21.1
2022,32,1745,0,0,20.43,-0.004,-80,-7999,100.9,0.09,21.1
2022,32,1746,0,0,20.54,13.15,-45.82,0.05,253.8,0.05,21.5
2022,32,1747,0,12.73,20.65,13.17,22.56,0.04,43.2,0.04,21.6
2022,32,1748,0,12.73,20.74,13.13,22.54,0.1,342.9,0.1,21.6
2022,32,1749,0,12.73,20.83,13.27,22.54,0.05,127.6,0.05,21.6
2022,32,1750,0,12.72,20.92,13.17,22.55,0.03,84.5,0.03,21.6
2022,32,1751,0,12.73,21,13.17,22.54,0.02,59.5,0.02,21.5
2022,32,1752,0,12.73,21.07,13.17,22.54,0.04,95.9,0.04,21.6
2022,32,1753,0,12.72,21.14,13.19,22.55,0.03,87.9,0.03,21.6
2022,32,1754,0,12.72,21.21,13.19,22.53,0.03,91.4,0.03,21.6
2022,32,1755,0,12.72,21.27,13.19,22.5,0.03,86.2,0.03,21.6
2022,32,1756,0,12.72,21.34,13.18,22.5,0.04,82.4,0.04,21.7
2022,32,1757,0,12.72,21.4,13.1,22.5,0.04,102.2,0.04,21.7
2022,32,1758,0,12.72,21.45,13.15,22.5,0.03,97.6,0.03,21.7
2022,32,1759,0,12.72,21.51,13.2,22.5,0.04,86.6,0.04,21.8
2022,32,1800,0,12.72,21.56,13.01,22.5,0.04,94.7,0.04,21.8
