101,2022,25,1647,0,0,22.37,-85.5,-7999,0.01,349.7,0.01,22.3
101,2022,25,1648,0,12.64,22.41,-78.67,-80.7,0.02,130.1,0.02,22.4
101,2022,25,1649,0,12.58,22.45,-77.68,-61.14,0.01,298.4,0.01,22.4
101,2022,25,1650,0,12.64,22.49,-74.93,-49.36,0.02,75.8,0.02,22.3
101,2022,25,1651,0,12.63,22.53,-71.47,-42.32,0.01,218.6,0.01,22.4
101,2022,25,1652,0,12.57,22.56,-69.15,-39.25,0.02,117.5,0.02,22.3
101,2022,25,1653,0,12.63,22.59,-67.7,-37.45,0.04,96,0.04,22.3
101,2022,25,1654,0,12.61,22.62,-66.55,-37.35,0.03,257.5,0.03,23.4
101,2022,25,1655,0,12.54,22.64,-66.32,-37.56,0.01,82.7,0.01,22.5
101,2022,25,1656,0,12.61,22.67,-65.54,-38.21,0.01,357,0.01,22.4
101,2022,25,1657,0,12.61,22.69,-65.92,-39.51,0.02,79.2,0.02,22.5
101,2022,25,1658,0,12.53,22.71,-66,-40.25,0.05,217.3,0.05,22.4
101,2022,25,1659,0,12.6,22.73,-66.09,-41.26,0.02,166.1,0.02,22.5
101,2022,25,1700,0,12.6,22.74,-66.52,-41.98,0.05,127.7,0.05,22.5
101,2022,25,1701,0,12.6,22.76,-66.67,-42.6,0.04,137.7,0.04,22.4
101,2022,25,1702,0,12.6,22.78,-67.03,-43.11,0.05,162.9,0.05,22.5
101,2022,25,1703,0,12.58,22.79,-67.08,-43.46,0.04,186.5,0.04,22.4
101,2022,25,1704,0,12.59,22.8,-66.92,-43.94,0.04,215.5,0.04,22.5
101,2022,25,1705,0,12.6,22.82,-63.85,-37.83,0.03,252.8,0.03,22.5
101,2022,25,1727,0,12.61,19.12,5.666,28.69,0.45,282.6,0.45,7.8
101,2022,25,1728,0,12.58,18.66,5.543,28.89,0.45,123.4,0.45,7.8
101,2022,25,1729,0,12.62,18.23,5.399,29.32,1.25,242.1,1.25,7.7
101,2022,25,1730,0,12.61,17.84,5.281,29.66,0.74,258.4,0.74,7.1
101,2022,25,1731,0,12.56,17.44,5.186,30.34,0.11,143.8,0.11,7
101,2022,25,1732,0,12.53,16.94,5.131,30.21,1.29,191.9,1.29,6.7
101,2022,25,1733,0,12.49,16.33,5.061,30.21,0.84,217.2,0.84,6.6
101,2022,25,1734,0,12.47,15.72,5.009,30.41,0.41,94.4,0.41,7
101,2022,25,1735,0,12.54,15.21,4.95,30.57,0.31,350.9,0.31,6.8
101,2022,25,1736,0,12.48,14.79,4.892,30.7,0.29,299.3,0.29,6.5
101,2022,25,1737,0,12.54,14.43,4.823,30.96,1.11,230.9,1.11,6.1
